iter	Passed	Remaining
429	1742	2310
430	1746	2305
431	1750	2301
432	1754	2297
433	1758	2293
434	1762	2289
435	1766	2285
436	1770	2281
437	1774	2276
438	1778	2272
439	1782	2268
440	1786	2264
441	1790	2260
442	1794	2255
443	1798	2251
444	1802	2247
445	1806	2243
446	1809	2239
447	1813	2234
448	1818	2231
449	1821	2226
450	1825	2222
451	1830	2218
452	1834	2215
453	1838	2210
454	1842	2206
455	1846	2202
456	1850	2198
457	1854	2194
458	1858	2189
459	1862	2186
460	1866	2182
461	1870	2178
462	1874	2174
463	1878	2170
464	1882	2165
465	1886	2161
466	1890	2157
467	1894	2153
468	1898	2149
469	1902	2144
470	1905	2140
471	1909	2136
472	1913	2132
473	1917	2128
474	1921	2124
475	1925	2120
476	1929	2115
477	1933	2111
478	1937	2107
479	1941	2103
480	1945	2099
481	1949	2095
482	1953	2091
483	1957	2087
484	1961	2083
485	1965	2078
486	1969	2074
487	1973	2070
488	1978	2067
489	1982	2063
490	1986	2059
491	1990	2055
492	1994	2051
493	1998	2047
494	2002	2043
495	2006	2039
496	2011	2035
497	2015	2031
498	2019	2027
499	2023	2023
500	2027	2019
501	2030	2014
502	2034	2010
503	2039	2006
504	2042	2002
505	2046	1998
506	2050	1994
507	2054	1990
508	2058	1985
509	2062	1981
510	2066	1977
511	2070	1973
512	2074	1969
513	2078	1965
514	2082	1961
515	2086	1957
516	2090	1952
517	2094	1948
518	2098	1944
519	2102	1940
520	2106	1936
521	2110	1932
522	2114	1928
523	2118	1924
524	2122	1920
525	2126	1915
526	2130	1911
527	2134	1907
528	2138	1903
529	2141	1899
530	2146	1895
531	2150	1891
532	2154	1887
533	2158	1883
534	2162	1879
535	2166	1875
536	2170	1871
537	2174	1867
538	2178	1863
539	2182	1859
540	2186	1855
541	2190	1850
542	2194	1846
543	2198	1842
544	2202	1838
545	2206	1834
546	2210	1830
547	2214	1826
548	2218	1822
549	2222	1818
550	2226	1813
551	2229	1809
552	2233	1805
553	2237	1801
554	2241	1797
555	2245	1793
556	2249	1789
557	2253	1785
558	2257	1780
559	2261	1776
560	2265	1772
561	2269	1768
562	2273	1764
563	2276	1760
564	2280	1756
565	2284	1752
566	2289	1748
567	2293	1744
568	2297	1740
569	2301	1736
570	2305	1731
571	2309	1727
572	2313	1723
573	2317	1719
574	2320	1715
575	2324	1711
576	2328	1707
577	2332	1703
578	2336	1699
579	2341	1695
580	2346	1692
581	2351	1688
582	2356	1685
583	2361	1681
584	2365	1678
585	2370	1674
586	2374	1670
587	2378	1666
588	2383	1662
589	2387	1659
590	2391	1655
591	2395	1650
592	2399	1646
593	2403	1642
594	2407	1638
595	2411	1634
596	2415	1630
597	2419	1626
598	2423	1622
599	2427	1618
600	2431	1614
601	2435	1610
602	2439	1606
603	2443	1602
604	2447	1598
605	2451	1593
606	2455	1589
607	2459	1585
608	2463	1581
609	2467	1577
610	2471	1573
611	2476	1569
612	2480	1566
613	2484	1561
614	2488	1557
615	2492	1553
616	2496	1549
617	2500	1545
618	2504	1541
619	2508	1537
620	2512	1533
621	2515	1529
622	2520	1524
623	2524	1520
624	2528	1516
625	2531	1512
626	2536	1508
627	2539	1504
628	2543	1500
629	2547	1496
630	2551	1492
631	2556	1488
632	2560	1484
633	2563	1480
634	2568	1476
635	2571	1471
636	2575	1467
637	2579	1463
638	2583	1459
639	2587	1455
640	2591	1451
641	2595	1447
642	2599	1443
643	2603	1439
644	2607	1435
645	2611	1431
646	2615	1426
647	2619	1422
648	2623	1418
649	2627	1414
650	2631	1410
651	2634	1406
652	2638	1402
653	2642	1398
654	2646	1394
655	2650	1389
656	2654	1385
657	2658	1381
658	2662	1377
659	2666	1373
660	2670	1369
661	2674	1365
662	2678	1361
663	2682	1357
664	2685	1353
665	2690	1349
666	2694	1345
667	2698	1341
668	2702	1336
669	2706	1332
670	2709	1328
671	2713	1324
672	2717	1320
673	2721	1316
674	2725	1312
675	2729	1308
676	2733	1304
677	2737	1300
678	2741	1296
679	2745	1292
680	2749	1288
681	2753	1283
682	2757	1279
683	2761	1275
684	2765	1271
685	2769	1267
686	2773	1263
687	2777	1259
688	2781	1255
689	2785	1251
690	2789	1247
691	2793	1243
692	2797	1239
693	2801	1235
694	2805	1231
695	2809	1227
696	2813	1223
697	2817	1218
698	2821	1214
699	2825	1210
700	2829	1206
701	2833	1202
702	2837	1198
703	2841	1194
704	2845	1190
705	2849	1186
706	2853	1182
707	2857	1178
708	2861	1174
709	2865	1170
710	2870	1166
711	2874	1162
712	2877	1158
713	2882	1154
714	2886	1150
715	2890	1146
716	2894	1142
717	2898	1138
718	2902	1134
719	2906	1130
720	2910	1126
721	2914	1122
722	2919	1118
723	2922	1114
724	2927	1110
725	2931	1106
726	2934	1102
727	2938	1098
728	2943	1094
729	2947	1090
730	2951	1085
731	2955	1081
732	2960	1078
733	2963	1074
734	2967	1070
735	2971	1066
736	2975	1061
737	2979	1057
738	2983	1053
739	2987	1049
740	2992	1045
741	2996	1041
742	3000	1037
743	3004	1033
744	3007	1029
745	3011	1025
746	3015	1021
747	3020	1017
748	3023	1013
749	3027	1009
750	3031	1005
751	3036	1001
752	3040	997
753	3043	993
754	3048	989
755	3052	985
756	3056	981
757	3060	977
758	3064	973
759	3068	968
760	3072	964
761	3076	960
762	3080	956
763	3084	952
764	3088	948
765	3092	944
766	3097	941
767	3101	937
768	3105	932
769	3110	928
770	3114	924
771	3118	920
772	3121	916
773	3126	912
774	3130	908
775	3133	904
776	3138	900
777	3141	896
778	3145	892
779	3149	888
780	3153	884
781	3158	880
782	3162	876
783	3166	872
784	3170	868
785	3174	864
786	3178	860
787	3182	856
788	3186	852
789	3190	848
790	3194	844
791	3198	839
792	3202	835
793	3206	831
794	3210	827
795	3214	823
796	3218	819
797	3222	815
798	3226	811
799	3230	807
800	3234	803
801	3238	799
802	3242	795
803	3246	791
804	3250	787
805	3254	783
806	3258	779
807	3262	775
808	3266	771
809	3270	767
810	3274	763
811	3278	759
812	3282	755
813	3287	751
814	3291	747
815	3294	742
816	3298	738
817	3302	734
818	3307	730
819	3311	726
820	3314	722
821	3319	718
822	3323	714
823	3327	710
824	3330	706
825	3335	702
826	3339	698
827	3343	694
828	3347	690
829	3351	686
830	3355	682
831	3359	678
832	3363	674
833	3367	670
834	3371	666
835	3375	662
836	3379	658
837	3383	654
838	3387	650
839	3391	646
840	3395	642
841	3399	637
842	3403	633
843	3407	629
844	3411	625
845	3415	621
846	3419	617
847	3423	613
848	3427	609
849	3431	605
850	3435	601
851	3439	597
852	3443	593
853	3447	589
854	3451	585
855	3455	581
856	3459	577
857	3463	573
858	3467	569
859	3471	565
860	3475	561
861	3479	557
862	3483	553
863	3488	549
864	3492	545
865	3496	541
866	3500	536
867	3505	533
868	3509	529
869	3513	524
870	3517	520
871	3521	516
872	3525	512
873	3529	508
874	3533	504
875	3537	500
876	3541	496
877	3545	492
878	3549	488
879	3553	484
880	3557	480
881	3561	476
882	3565	472
883	3569	468
884	3573	464
885	3577	460
886	3581	456
887	3585	452
888	3589	448
889	3593	444
890	3597	440
891	3601	436
892	3605	432
893	3609	427
894	3613	423
895	3617	419
896	3621	415
897	3625	411
898	3629	407
899	3633	403
900	3637	399
901	3642	395
902	3646	391
903	3650	387
904	3654	383
905	3658	379
906	3662	375
907	3666	371
908	3670	367
909	3674	363
910	3678	359
911	3682	355
912	3686	351
913	3690	347
914	3694	343
915	3698	339
916	3702	335
917	3706	331
918	3710	327
919	3714	322
920	3718	318
921	3722	314
922	3726	310
923	3730	306
924	3734	302
925	3738	298
926	3742	294
927	3746	290
928	3750	286
929	3754	282
930	3758	278
931	3762	274
932	3766	270
933	3770	266
934	3774	262
935	3778	258
936	3782	254
937	3787	250
938	3790	246
939	3794	242
940	3798	238
941	3802	234
942	3806	230
943	3810	226
944	3814	222
945	3818	217
946	3822	213
947	3826	209
948	3830	205
949	3834	201
950	3838	197
951	3842	193
952	3846	189
953	3850	185
954	3854	181
955	3858	177
956	3862	173
957	3866	169
958	3870	165
959	3874	161
960	3878	157
961	3882	153
962	3886	149
963	3890	145
964	3894	141
965	3898	137
966	3902	133
967	3906	129
968	3911	125
969	3915	121
970	3919	117
971	3923	113
972	3928	108
973	3932	104
974	3935	100
975	3939	96
976	3944	92
977	3948	88
978	3952	84
979	3956	80
980	3960	76
981	3964	72
982	3968	68
983	3972	64
984	3976	60
985	3980	56
986	3984	52
987	3988	48
988	3993	44
989	3997	40
990	4001	36
991	4005	32
992	4009	28
993	4013	24
994	4017	20
995	4021	16
996	4025	12
997	4029	8
998	4033	4
999	4038	0
