iter	Logloss
0	0.6790161743
1	0.6658109131
2	0.6534260254
3	0.6420675049
4	0.6309822998
5	0.6200639648
6	0.6091329956
7	0.599875
8	0.5907125244
9	0.5822655029
10	0.574767334
11	0.5676630859
12	0.560039917
13	0.5525302734
14	0.5463280029
15	0.5401456909
16	0.5343054199
17	0.5288609619
18	0.5231339111
19	0.5180267334
20	0.5136243286
21	0.5088931274
22	0.5046990967
23	0.5003838501
24	0.4967818298
25	0.49347995
26	0.4898722839
27	0.4865435791
28	0.4832132568
29	0.4800870972
30	0.4772725525
31	0.4746332092
32	0.4720894165
33	0.469562439
34	0.4675651245
35	0.4652384644
36	0.4631233826
37	0.4610919189
38	0.4592922058
39	0.4576591797
40	0.4558519592
41	0.4543515625
42	0.4526055908
43	0.4510992126
44	0.4496555176
45	0.4482792053
46	0.4472017212
47	0.4460490112
48	0.4451126404
49	0.4438325195
50	0.4427061768
51	0.4415806885
52	0.4404533691
53	0.4394473877
54	0.4385540161
55	0.4376339111
56	0.4366664429
57	0.4357586975
58	0.4349234924
59	0.4341748047
60	0.4333086243
61	0.4325680237
62	0.4318657227
63	0.4312337646
64	0.4305106201
65	0.4298204956
66	0.4291304321
67	0.4285455627
68	0.4279214478
69	0.4273454895
70	0.4267091675
71	0.4261408081
72	0.4257016602
73	0.4252880249
74	0.4247921143
75	0.4243038025
76	0.4237723999
77	0.4232903442
78	0.4227434692
79	0.4222339478
80	0.4218481445
81	0.4214507751
82	0.4211154785
83	0.4206658325
84	0.4202970581
85	0.4199855347
86	0.4195374756
87	0.4191870728
88	0.4187631226
89	0.4182407227
90	0.4181064148
91	0.4177393188
92	0.4175396729
93	0.4171362915
94	0.4167664795
95	0.4166153564
96	0.4163134155
97	0.4161125793
98	0.4159469604
99	0.4155806274
100	0.4152485352
101	0.415016571
102	0.4147980957
103	0.4145111694
104	0.4142796631
105	0.4139697876
106	0.4136630554
107	0.4134391479
108	0.4131746826
109	0.4129859009
110	0.4127594299
111	0.4125198669
112	0.4122722778
113	0.41196521
114	0.4116932678
115	0.4115008545
116	0.4111834106
117	0.4110133667
118	0.4107435913
119	0.4105285339
120	0.4103297119
121	0.4101427307
122	0.4099316406
123	0.4097853394
124	0.4096105347
125	0.409452301
126	0.4092141113
127	0.4090209045
128	0.4088694458
129	0.408741272
130	0.4085556335
131	0.4084607544
132	0.4082376709
133	0.4079963989
134	0.4077828674
135	0.4075154419
136	0.4073006592
137	0.4071087341
138	0.4069890442
139	0.406882019
140	0.4067057495
141	0.406569458
142	0.4063585205
143	0.4061868896
144	0.4059954834
145	0.4058010559
146	0.4056672363
147	0.4055033569
148	0.4053920288
149	0.40527948
150	0.4051808777
151	0.405043457
152	0.4049138184
153	0.4048165283
154	0.4047371826
155	0.4045674133
156	0.4044064941
157	0.4042838135
158	0.4041118164
159	0.4040314636
160	0.4039727478
161	0.4038119812
162	0.4036610107
163	0.4035302124
164	0.4035065308
165	0.4033631592
166	0.4032176819
167	0.4030949097
168	0.4029385986
169	0.4027760925
170	0.4026200562
171	0.4024896851
172	0.4023555298
173	0.4022313232
174	0.4021350403
175	0.4019940796
176	0.4019233093
177	0.4017616882
178	0.4015706787
179	0.4014335327
180	0.4012362671
181	0.4011008911
182	0.4010194702
183	0.4009605713
184	0.4007644043
185	0.400650116
186	0.4005625305
187	0.4005605164
188	0.4004052734
189	0.4002826843
190	0.4001146851
191	0.4000220642
192	0.399886261
193	0.3998051758
194	0.3997495117
195	0.3996363525
196	0.3994954529
197	0.3993568115
198	0.3992429199
199	0.3991682739
200	0.3990540771
201	0.398939209
202	0.3988249512
203	0.39875
204	0.3986207886
205	0.3985144653
206	0.3983865662
207	0.3982644043
208	0.3981601257
209	0.3981060791
210	0.3979689331
211	0.3978277893
212	0.3977477417
213	0.397665741
214	0.3975632935
215	0.3974298706
216	0.3973852234
217	0.3972369995
218	0.3971031799
219	0.3969945374
220	0.3968488159
221	0.3966585693
222	0.3965676575
223	0.3964013672
224	0.3963250122
225	0.3962566223
226	0.3961290283
227	0.3960561829
228	0.3959208374
229	0.3959149475
230	0.3957702942
231	0.3956235352
232	0.39547052
233	0.3953221741
234	0.3952174683
235	0.3951339111
236	0.3950846252
237	0.3949945679
238	0.3948877563
239	0.3947901001
240	0.3947494202
241	0.3946195679
242	0.394479126
243	0.3944174805
244	0.3943065796
245	0.3942156372
246	0.3941412964
247	0.3940107422
248	0.3938790588
249	0.3937617798
250	0.3936715393
251	0.3935292969
252	0.3934128418
253	0.3932182617
254	0.3931565857
255	0.3929925537
256	0.3928589783
257	0.3926629333
258	0.3925898132
259	0.3923923645
260	0.392265625
261	0.3921352539
262	0.392063446
263	0.3919491577
264	0.3918442078
265	0.3917804565
266	0.3917042847
267	0.3915905762
268	0.391486084
269	0.3914051514
270	0.3912991943
271	0.3912341309
272	0.3911654663
273	0.3910420532
274	0.3909532776
275	0.3908651733
276	0.3907980652
277	0.3906178284
278	0.3905049438
279	0.3904219666
280	0.3902705994
281	0.3901425171
282	0.3900264282
283	0.3899223633
284	0.3898355713
285	0.3897324829
286	0.3895535583
287	0.3894071045
288	0.3892689819
289	0.389163147
290	0.389080658
291	0.3889551697
292	0.3888276978
293	0.3886894531
294	0.3885460205
295	0.3884631042
296	0.3883920593
297	0.3883103027
298	0.3881965332
299	0.3881111145
300	0.3879728699
301	0.3879039917
302	0.3877775879
303	0.3876737366
304	0.387600647
305	0.3874216614
306	0.3873189087
307	0.3872155762
308	0.387045166
309	0.3868850098
310	0.3868256836
311	0.3867413025
312	0.3866239929
313	0.3865629272
314	0.3864724731
315	0.3864129028
316	0.3862398682
317	0.3861680908
318	0.386070282
319	0.3859593506
320	0.3857999268
321	0.3856196594
322	0.385484314
323	0.3854127197
324	0.3852763062
325	0.3851986694
326	0.3850851135
327	0.3849937439
328	0.3849107056
329	0.3847392578
330	0.3845827637
331	0.3844268799
332	0.384291626
333	0.3840880127
334	0.3839974365
335	0.383979187
336	0.3838649902
337	0.3838363037
338	0.3837089844
339	0.3835891724
340	0.3833666992
341	0.3832850647
342	0.3831973877
343	0.3831057434
344	0.3830358276
345	0.3829619751
346	0.3828737793
347	0.3827744751
348	0.382703125
349	0.3825894165
350	0.3825431519
351	0.3824349365
352	0.3823312683
353	0.3821923218
354	0.3820142212
355	0.3819493408
356	0.3818834839
357	0.3817096252
358	0.3816430359
359	0.3815135803
360	0.38143573
361	0.3813615417
362	0.3812510376
363	0.3811425171
364	0.3810183105
365	0.3809058838
366	0.3807471313
367	0.3805776367
368	0.3804954224
369	0.3803495483
370	0.3802104187
371	0.3800719299
372	0.3799584351
373	0.3798930664
374	0.3797695923
375	0.3796272888
376	0.3795011597
377	0.3794124756
378	0.3793079224
379	0.3791992188
380	0.3791564941
381	0.3790390015
382	0.3789760742
383	0.3787782593
384	0.3786973572
385	0.3785617065
386	0.3783692932
387	0.3782865601
388	0.3781339111
389	0.3780402832
390	0.3779006348
391	0.3777746582
392	0.3776833496
393	0.3776289673
394	0.3775054016
395	0.3773702087
396	0.3772832031
397	0.3771397705
398	0.3769723206
399	0.3768085937
400	0.376701416
401	0.3765829773
402	0.3765066528
403	0.37638797
404	0.3762867737
405	0.3761893311
406	0.3761054077
407	0.375878418
408	0.3757874146
409	0.3756903992
410	0.3755690918
411	0.3754584961
412	0.3753104553
413	0.3752099304
414	0.375069397
415	0.3749337158
416	0.3748109741
417	0.3746558228
418	0.3745292969
419	0.3744207153
420	0.3743076782
421	0.3741292419
422	0.3739917297
423	0.3739089966
424	0.3738509827
425	0.3737156677
426	0.3735923767
427	0.3734894714
428	0.3733842163
429	0.3733116455
430	0.3732058716
431	0.3731000977
432	0.3729279175
433	0.3727958679
434	0.372710907
435	0.3726238098
436	0.3724945068
437	0.3723380737
438	0.3722196045
439	0.3721413269
440	0.3719188843
441	0.3717128906
442	0.3715563354
443	0.3714883728
444	0.3713664246
445	0.3712435303
446	0.3711439819
447	0.3710031738
448	0.3708240662
449	0.3707058716
450	0.3705873108
451	0.3704792175
452	0.3703179321
453	0.3702061768
454	0.3701265259
455	0.3699723816
456	0.3698814087
457	0.3697197266
458	0.3696382141
459	0.3694910889
460	0.3693764343
461	0.3692855835
462	0.3691682129
463	0.3690289917
464	0.3689285278
465	0.368822937
466	0.3687008362
467	0.3685982971
468	0.3685157471
469	0.3684504395
470	0.3683828735
471	0.3683112488
472	0.3681463928
473	0.3679918213
474	0.3678415527
475	0.3677633667
476	0.3676605835
477	0.3675169678
478	0.3674358826
479	0.3673825378
480	0.3673388062
481	0.3672769775
482	0.3671849365
483	0.3670592346
484	0.3669431152
485	0.3667844543
486	0.3666569214
487	0.3665527344
488	0.366447998
489	0.3662738647
490	0.3661466675
491	0.366033783
492	0.3659430847
493	0.3657709961
494	0.3656643372
495	0.3655167236
496	0.3653870239
497	0.3653144226
498	0.365177063
499	0.3650498047
500	0.3649168701
501	0.3648340454
502	0.3647422485
503	0.364612793
504	0.3645305176
505	0.364402771
506	0.3642868347
507	0.3642127075
508	0.3641522217
509	0.3640629272
510	0.3639407349
511	0.3638704224
512	0.3637604065
513	0.3636961365
514	0.3636161499
515	0.3634918823
516	0.3633734741
517	0.3632474365
518	0.3631436157
519	0.362984314
520	0.3628522949
521	0.3626768494
522	0.3626124268
523	0.3624947205
524	0.3623864746
525	0.3622756958
526	0.362185791
527	0.362065033
528	0.3619915771
529	0.3618911133
530	0.3617596741
531	0.3616637573
532	0.3616066895
533	0.3614875488
534	0.3613599854
535	0.3612642822
536	0.3611347656
537	0.3610660095
538	0.3609510803
539	0.360757782
540	0.3606108704
541	0.3605287476
542	0.3603729858
543	0.3602741699
544	0.3601618652
545	0.3600776367
546	0.3599319763
547	0.3598295898
548	0.3596867676
549	0.3595777588
550	0.3594838867
551	0.3593817444
552	0.359267334
553	0.3591394043
554	0.359017395
555	0.358946106
556	0.3588511353
557	0.3587420044
558	0.3587106628
559	0.3586306458
560	0.358555542
561	0.3584274597
562	0.3583670654
563	0.3582147522
564	0.3581156616
565	0.3580496826
566	0.3579580383
567	0.3578873901
568	0.3578057556
569	0.357721405
570	0.3576463623
571	0.3575429993
572	0.3574643555
573	0.3573485718
574	0.3572608948
575	0.3570763245
